assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
5,25,528,8,0.0,45124,66,0.00,0.00,0.00,0.00,43,12,0.0,0.0,2927,0,0,0,0,0,2015/16,70,0,0.0,171,5
3,5,257,6,233.4,45124,71,0.00,0.00,0.00,0.00,25,6,105.6,324.4,1439,0,0,0,0,0,2016/17,75,0,505.0,89,1
5,2,249,3,283.1,45124,68,0.00,0.00,0.00,0.00,42,3,102.7,319.4,1834,0,1,0,0,0,2017/18,70,0,429.0,77,5
0,0,27,0,17.4,45124,50,0.03,1.09,1.06,7.41,10,0,10.5,34.0,306,0,1,0,0,0,2022/23,50,1,53.0,11,1
