assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
2,4,219,1,289.4,443967,47,0.00,0.00,0.00,0.00,49,0,75.1,320.4,1709,1,0,0,0,0,2021/22,50,0,142.0,22,11
2,3,187,1,128.0,443967,45,0.75,0.87,0.12,29.81,33,1,46.4,290.8,1364,0,0,0,1,0,2022/23,45,14,46.0,30,5
