assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
3,3,203,2,161.6,106837,52,0.00,0.00,0.00,0.00,17,1,56.5,196.2,1122,0,0,0,0,0,2019/20,55,0,210.0,54,2
2,1,129,3,132.1,106837,52,0.00,0.00,0.00,0.00,11,1,36.9,119.2,714,0,0,0,0,0,2020/21,55,0,120.0,37,0
0,0,0,0,0.0,106837,49,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2021/22,50,0,0.0,0,0
1,0,115,2,66.9,106837,48,0.43,1.47,1.04,11.82,10,1,22.7,96.4,635,0,0,0,0,0,2022/23,50,6,64.0,34,1
