assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,2,665,12,421.4,66588,44,0.00,0.00,0.00,0.00,54,0,161.6,843.2,3399,0,0,0,0,0,2020/21,45,0,350.0,100,7
3,8,405,2,186.5,66588,43,0.00,0.00,0.00,0.00,66,2,102.5,603.2,2272,0,0,0,1,0,2021/22,45,0,238.0,55,4
1,4,336,3,217.6,66588,45,2.24,5.17,2.93,42.12,48,2,96.7,465.4,2048,0,0,0,0,0,2022/23,45,22,281.0,59,3
