assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,0,40,100,0,1,0.54,441192,None,,0,0,0,0,38.2,392,199,None,,0,3,0.0,0.0,0,0.27,0.14,0.60,0.32,0.33,2.76,1.48,0.18,Jeremy,0.0,360,82,2,1.07,0,12.9,436,196,119,False,46.6,451,199,168,,2023-03-24T14:00:08.387996Z,45,391,222,0,0,None,0,,441192.jpg,1.8,356,147,0,0,0.0,Sarmiento Morante,0.0,555,219,False,None,1,0.54,a,5,36,50.0,362,177,16,6795,0,12916,0,0.0,3.6,Sarmiento,1
1,0,503,100,100,10,0.29,486672,None,,0,0,0,0,680.4,34,27,None,,0,3,2.0,0.0,0,2.51,0.07,4.18,0.12,1.67,45.90,1.32,0.05,Moisés,0.0,592,231,47,1.35,1,148.2,70,50,120,False,589.8,84,39,3138,,2022-12-26T18:30:07.614392Z,50,215,120,0,0,None,0,,486672.jpg,2.1,298,119,0,0,0.0,Caicedo Corozo,0.4,280,93,False,None,34,0.98,a,5,36,210.0,180,108,79,104642,0,81464,0,0.0,15.8,Caicedo,10
0,0,0,0,0,0,0,209045,None,,0,0,0,0,0.0,679,277,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Taylor,0.0,338,70,0,0,0,0.0,685,275,121,False,0.0,680,272,0,Joined QPR on loan - Expected back 01 Jul,2022-07-22T22:30:04.788277Z,45,369,210,0,0,None,0,,209045.jpg,0.0,691,281,0,0,0,Richards,0.0,738,306,False,None,0,0,u,5,36,0.0,660,266,0,0,0,517,0,0.0,0.0,Richards,0
0,0,0,0,0,0,0,433589,None,,0,0,0,0,0.0,585,211,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Haydon,0.0,86,43,0,0,0,0.0,603,212,122,False,0.0,599,213,0,Joined Derby County on loan - Expected back 01 Jul,2022-07-09T22:00:04.021716Z,40,678,197,0,0,None,0,,433589.jpg,0.0,612,214,0,0,0,Roberts,0.0,734,257,False,None,0,0,u,5,36,0.0,548,202,0,0,0,582,0,0.0,0.0,Roberts,0
2,4,173,None,None,2,0.29,450434,None,,0,0,-5,5,124.0,255,39,None,,1,4,4.1,0.0,5,1.25,0.18,6.14,0.9,4.89,9.03,1.32,0.72,Deniz,0.0,590,37,9,1.32,5,69.1,224,35,123,False,196.4,314,36,614,,None,50,213,57,1,0,None,0,,450434.jpg,2.4,249,31,0,0,0.0,Undav,0.8,213,34,False,None,6,0.88,a,5,36,372.0,104,35,52,123408,0,117815,0,0.0,10.4,Undav,2
9,11,457,100,100,8,0.31,451340,None,,0,0,7,-7,569.4,46,38,None,,4,3,3.0,0.0,1,4.93,0.19,13.22,0.51,8.29,35.52,1.38,0.32,Kaoru,0.0,699,297,35,1.36,7,200.4,31,21,124,False,569.6,94,42,2311,,2022-10-15T09:30:07.136345Z,57,87,48,0,0,None,0,,451340.jpg,4.2,40,19,0,0,0.0,Mitoma,27.3,9,4,False,None,24,0.93,a,5,36,867.0,25,14,138,4867333,0,1839456,0,0.0,24.2,Mitoma,0
3,7,189,None,None,4,0.45,474120,None,,0,0,-4,4,177.5,202,29,None,,0,4,3.7,0.0,2,1.18,0.13,5.11,0.58,3.93,14.76,1.67,0.45,Julio,0.0,451,30,12,1.36,4,83.8,174,31,125,False,262.8,267,29,794,,None,46,337,64,0,0,None,0,,474120.jpg,2.9,170,21,0,0,0.0,Enciso,2.4,123,18,False,None,7,0.79,a,5,36,399.0,94,31,57,356708,0,139622,0,0.0,12.4,Enciso,1
0,0,0,0,0,0,0,484658,None,,0,0,0,0,0.0,710,295,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kacper,0.0,388,97,0,0,0,0.0,715,293,126,False,0.0,711,290,0,Season-long loan to Vitesse Arnhem,2022-08-26T07:25:55.973718Z,45,419,237,0,0,None,0,,484658.jpg,0.0,721,299,0,0,0,Kozłowski,0.0,618,249,False,None,0,0,u,5,36,0.0,694,286,0,1670,0,7635,0,0.0,0.0,Kozłowski,0
1,0,105,100,100,2,0.36,243568,None,,0,0,-3,3,56.5,363,188,None,,0,3,2.0,0.0,0,0.80,0.14,1.30,0.23,0.50,9.35,1.68,0.09,Billy,0.0,179,13,8,1.43,0,15.8,425,193,149,False,67.6,423,183,502,,2023-02-17T22:00:09.055238Z,42,612,323,0,0,None,0,,243568.jpg,1.5,407,175,0,0,0.0,Gilmour,0.4,297,100,False,None,7,1.25,a,5,36,33.0,394,192,21,79209,0,106157,0,0.0,5.0,Gilmour,1
0,0,0,0,0,0,0,240514,None,,0,0,0,0,0.0,581,52,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kjell,0.0,81,41,0,0,0,0.0,599,69,542,False,0.0,595,69,0,Season-long loan to Vitesse Arnhem,2022-08-17T10:33:33.723103Z,40,673,48,0,0,None,0,,240514.jpg,0.0,608,69,0,0,0,Scherpen,0.0,554,61,False,None,0,0,u,5,36,0.0,544,43,0,1447,0,7233,0,0.0,0.0,Scherpen,0
0,0,0,0,0,0,0,178173,None,,0,0,0,0,0.0,570,204,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Matt,0.0,69,34,0,0,0,0.0,588,205,543,False,0.0,584,206,0,Transferred to Middlesbrough,2022-08-26T07:23:35.673658Z,40,661,188,0,0,None,0,,178173.jpg,0.0,596,206,0,0,0,Clarke,0.1,450,168,False,None,0,0,u,5,36,0.0,532,194,0,10007,0,26060,0,0.0,0.0,Clarke,0
0,0,54,100,100,0,0.0,469142,None,,0,0,0,0,5.8,459,164,None,,0,2,0.1,0.0,1,0.04,0.01,0.59,0.18,0.55,6.72,2.08,0.17,Jan Paul,0.0,103,53,7,2.16,0,8.8,455,160,544,False,71.4,417,156,291,,2022-10-17T12:00:07.501829Z,40,695,207,0,0,None,0,,469142.jpg,0.8,539,178,0,0,0.0,van Hecke,0.3,332,123,False,None,3,0.93,a,5,36,10.0,439,161,6,33712,0,38934,0,0.0,1.5,Van Hecke,2
2,6,249,100,100,3,0.22,460028,None,,0,0,-1,1,101.9,293,89,None,,1,2,2.7,0.0,1,0.31,0.02,1.72,0.12,1.41,22.20,1.64,0.1,Levi,0.0,301,174,21,1.55,0,38.9,332,114,559,False,236.2,284,108,1218,,2023-04-08T21:00:07.428244Z,44,527,121,0,0,None,0,,460028.jpg,2.7,196,69,0,0,0.0,Colwill,0.2,365,137,False,None,13,0.96,a,5,36,50.0,361,127,46,36197,0,24510,0,0.0,10.5,Colwill,1
7,15,593,100,100,10,0.34,204214,None,,0,0,5,-5,757.9,26,4,None,,3,2,5.3,0.0,1,3.88,0.13,5.68,0.19,1.80,41.60,1.4,0.06,Pervis,0.0,578,240,43,1.45,1,162.5,58,5,586,False,575.2,89,24,2674,,2023-02-27T17:00:09.053149Z,50,201,26,0,0,None,0,,204214.jpg,3.7,82,19,0,0,0.0,Estupiñán,20.5,13,3,False,None,31,1.04,a,5,36,297.0,126,10,128,3358934,0,1067710,0,0.0,25.6,Estupiñán,4
2,8,213,100,100,6,0.57,487117,None,,0,0,1,-1,150.4,226,33,None,,2,4,2.6,0.0,2,0.54,0.05,5.98,0.57,5.44,13.45,1.29,0.52,Evan,0.0,453,31,12,1.15,6,79.9,185,32,596,False,286.2,243,27,942,,2023-04-15T22:00:07.943752Z,46,339,65,0,0,None,0,,487117.jpg,3.4,115,15,0,0,0.0,Ferguson,1.7,150,27,False,None,10,0.96,a,5,36,361.0,106,36,65,625820,0,468210,0,0.0,14.1,Ferguson,1
0,0,0,0,0,0,0,448496,None,,0,0,0,0,0.0,592,215,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ed,0.0,96,50,0,0,0,0.0,610,216,640,False,0.0,606,217,0,Season-long loan to Leyton Orient,2023-01-14T20:36:50.944645Z,40,688,204,0,0,None,0,,448496.jpg,0.0,619,218,0,0,0,Turns,0.0,624,227,False,None,0,0,u,5,36,0.0,557,208,0,3677,0,3779,0,0.0,0.0,Turns,0
0,0,3,None,None,0,0.0,513834,None,,0,0,0,0,0.0,723,304,None,,0,3,0.0,0.0,0,0.00,0.0,0.00,0.0,0.00,0.82,6.71,0.0,Andrew,0.0,412,114,1,8.18,0,0.0,729,303,651,False,0.0,727,302,11,,None,45,443,254,0,0,None,0,,513834.jpg,1.0,511,233,0,0,0.0,Moran,0.0,689,276,False,None,0,0.0,a,5,36,0.0,712,298,1,1811,0,1333,0,0.0,0.2,Moran,0
0,0,0,0,0,0,0,440123,None,,0,0,0,0,0.0,586,212,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,James,0.0,88,45,0,0,0,0.0,604,213,652,False,0.0,600,214,0,Season-long loan to Motherwell,2023-02-01T11:15:15.307002Z,40,680,199,0,0,None,0,,440123.jpg,0.0,613,215,0,0,0,Furlong,0.0,659,238,False,None,0,0,u,5,36,0.0,550,204,0,2100,0,2088,0,0.0,0.0,Furlong,0
0,0,3,None,None,0,0.0,532529,None,,0,0,0,0,0.0,733,312,None,,0,3,0.0,0.0,1,0.00,0.0,0.00,0.0,0.00,0.23,20.7,0.0,Jack,0.0,426,126,0,0.0,0,0.4,528,240,677,False,2.0,523,238,1,,None,45,457,266,0,0,None,0,,532529.jpg,1.0,515,237,0,0,0.0,Hinshelwood,0.0,739,307,False,None,0,0.0,a,5,36,2.0,473,232,1,349,0,241,0,0.0,0.2,Hinshelwood,0
1,2,72,100,100,1,0.16,536916,None,,0,0,0,0,100.9,294,162,None,,0,3,1.3,0.0,1,0.39,0.06,1.69,0.27,1.30,11.93,1.92,0.21,Facundo,0.0,429,129,12,1.94,1,28.5,378,172,679,False,90.0,398,168,558,,2023-01-27T16:00:09.112227Z,45,460,269,0,0,None,0,,536916.jpg,2.0,323,125,0,0,0.0,Buonanotte,0.1,462,170,False,None,6,0.97,a,5,36,102.0,276,144,26,14693,0,6032,0,0.0,5.8,Buonanotte,2
0,0,14,100,100,0,0.0,509416,None,,0,0,0,0,25.5,410,207,None,,0,3,0.1,0.0,1,0.30,0.42,0.32,0.45,0.02,1.45,2.01,0.03,Yasin,0.0,409,111,2,2.77,0,3.5,485,217,719,False,7.4,498,224,65,,2023-03-03T15:30:08.925943Z,45,440,251,0,0,None,0,,509416.jpg,1.0,510,232,0,0,0.0,Ayari,0.0,704,286,False,None,1,1.38,a,5,36,3.0,467,228,3,960,0,531,0,0.0,0.7,Ayari,0
0,0,10,None,None,0,0.0,445548,None,,0,0,0,0,1.5,477,171,None,,0,2,0.0,0.0,0,0.02,0.08,0.02,0.08,0.00,1.77,6.93,0.0,Odeluga,0.0,91,48,3,11.74,0,0.8,519,178,736,False,6.2,502,177,23,,None,40,683,202,0,0,None,0,,445548.jpg,0.5,551,186,0,0,0.0,Offiah,0.0,634,231,False,None,0,0.0,a,5,36,0.0,552,206,1,1672,0,963,0,0.0,0.2,Offiah,0
0,0,0,None,None,0,0,209288,None,,0,0,0,0,0.0,575,49,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Tom,0.0,74,38,0,0,0,0.0,593,66,756,False,0.0,589,66,0,,None,40,666,45,0,0,None,0,,209288.jpg,0.0,601,66,0,0,0,McGill,0.0,715,78,False,None,0,0,a,5,36,0.0,537,40,0,698,0,341,0,0.0,0.0,McGill,0
0,0,3,None,None,0,0.0,491598,None,,0,0,0,0,0.3,503,245,None,,0,3,0.1,0.0,0,0.00,0.0,0.06,1.08,0.06,0.95,17.1,1.08,Cameron,0.0,395,101,2,36.0,0,0.5,526,238,762,False,0.0,715,293,5,,None,45,426,241,0,0,None,0,,491598.jpg,1.0,503,226,0,0,0.0,Peupion,0.0,763,326,False,None,0,0.0,a,5,36,5.0,456,220,1,127,0,35,0,0.0,0.2,Peupion,0
0,0,0,100,0,0,0,447720,None,,0,0,0,0,0.0,590,214,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Imari,0.0,94,49,0,0,0,0.0,608,215,765,False,0.0,604,216,0,,2023-05-24T21:30:09.842243Z,40,686,203,0,0,None,0,,447720.jpg,0.0,617,217,0,0,0,Samuels,0.0,760,261,False,None,0,0,a,5,36,0.0,555,207,0,129,0,29,0,0.0,0.0,Samuels,0
0,0,71,100,100,1,0.26,478912,None,,0,0,-3,3,113.5,274,156,None,,1,3,0.1,-0.5,1,0.61,0.16,0.94,0.25,0.33,8.10,2.13,0.09,Carney,0.0,191,20,7,1.84,0,25.7,391,174,48,False,66.0,424,184,342,,2023-04-12T00:00:08.845842Z,42,624,330,0,0,None,0,,478912.jpg,1.3,445,195,0,0,0.0,Chukwuemeka,0.3,312,107,False,None,2,0.53,a,6,8,78.0,311,156,18,75657,0,113634,0,0.0,4.3,Chukwuemeka,0
2,1,363,100,25,6,0.32,179268,None,,0,0,-1,1,232.5,155,33,None,,0,2,-0.1,-0.1,0,0.96,0.05,1.34,0.07,0.38,26.03,1.4,0.02,Marc,0.0,541,229,20,1.08,0,65.9,232,71,112,False,354.4,205,80,1669,,2023-04-27T00:00:08.782165Z,49,237,31,0,0,None,0,,179268.jpg,2.7,198,70,0,0,0.0,Cucurella Saseta,5.0,77,26,False,None,21,1.13,a,6,8,72.0,320,105,65,2311987,0,2714280,0,0.0,13.3,Cucurella,4
0,4,242,100,100,3,0.18,41328,None,,0,0,-3,3,211.2,173,40,None,,1,2,0.3,-0.5,2,1.25,0.07,1.60,0.09,0.35,27.38,1.62,0.02,César,0.0,455,209,21,1.24,0,58.4,258,83,127,False,272.0,259,99,1521,,2023-02-18T21:30:07.912657Z,47,293,45,1,0,None,0,,41328.jpg,1.8,358,129,0,0,0.0,Azpilicueta,1.2,177,61,False,None,16,0.95,a,6,8,102.0,277,80,45,265047,0,352360,0,0.0,9.6,Azpilicueta,3
2,8,524,100,100,6,0.23,51090,None,,0,0,-1,1,90.4,311,97,None,,0,2,0.5,-0.5,2,1.04,0.04,2.58,0.1,1.54,34.83,1.33,0.06,Thiago,0.0,650,250,32,1.23,0,91.4,154,34,128,False,676.8,55,13,2351,,2023-02-26T23:00:08.471309Z,54,117,13,0,0,None,0,,51090.jpg,3.0,158,50,0,0,0.0,Emiliano da Silva,5.7,69,23,False,None,26,1.0,a,6,8,147.0,222,45,80,1208815,0,1397271,0,0.0,14.8,Thiago Silva,2
0,0,0,0,0,0,0,82263,None,,0,0,-2,2,0.0,765,262,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Marcos,0.0,627,248,0,0,0,0.0,767,262,129,False,0.0,766,262,0,Left by mutual consent,2022-09-02T10:46:49.198371Z,53,134,15,0,0,None,0,,82263.jpg,0.0,768,262,0,0,0,Alonso,0.7,235,81,False,None,0,0,u,6,8,0.0,763,262,0,8779,0,252668,0,0.0,0.0,Alonso,0
0,0,0,0,0,0,0,88894,None,,0,0,-1,1,0.0,754,326,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ross,0.0,530,192,0,0,0,0.0,756,325,131,False,0.0,755,325,0,Left by mutual consent,2022-09-02T11:08:19.103069Z,49,226,127,0,0,None,0,,88894.jpg,0.0,758,327,0,0,0,Barkley,0.0,601,238,False,None,0,0,u,6,8,0.0,747,323,0,1910,0,6986,0,0.0,0.0,Barkley,0
2,2,289,100,50,4,0.21,91651,None,,0,0,-1,1,365.8,100,74,None,,0,3,0.2,-0.2,1,2.04,0.11,3.83,0.2,1.79,24.00,1.27,0.09,Mateo,0.0,532,194,25,1.32,1,77.9,190,102,132,False,295.8,232,100,1699,,2023-05-13T17:30:09.260005Z,49,228,129,0,0,None,0,,91651.jpg,2.0,327,128,0,0,0.0,Kovacic,0.3,324,110,False,None,17,0.9,a,6,8,114.0,258,136,53,78298,0,134485,0,0.0,10.8,Kovacic,8
0,15,575,100,100,9,0.32,109745,None,,0,0,0,0,0.1,515,12,None,,2,1,1.3,-0.5,3,0.00,0.0,0.00,0.0,0.00,38.34,1.35,0.0,Kepa,0.0,324,71,33,1.16,0,73.3,208,11,133,False,733.4,38,11,2565,,2022-10-29T17:30:06.932408Z,45,355,18,0,0,None,0,,109745.jpg,4.1,45,10,0,91,3.19,Arrizabalaga,6.4,61,10,False,None,29,1.02,a,6,8,0.0,655,72,118,1984646,0,1341981,0,0.0,26.2,Arrizabalaga,1
1,1,120,100,25,2,0.35,116594,None,,0,0,-2,2,186.9,189,118,None,,0,3,0.2,-0.1,0,0.82,0.14,1.13,0.2,0.32,5.23,0.91,0.06,N'Golo,0.0,500,173,7,1.22,0,35.2,343,152,134,False,107.0,379,159,517,,2023-05-13T17:30:09.281498Z,48,269,160,0,0,None,0,,116594.jpg,2.6,211,81,0,0,0.0,Kanté,1.1,186,63,False,None,6,1.04,a,6,8,58.0,339,169,18,101591,0,409065,0,0.0,3.8,Kanté,1
3,0,129,100,100,2,0.28,124183,3,,0,0,-5,5,230.9,157,104,None,,0,3,1.5,-0.5,0,1.51,0.21,2.16,0.3,0.65,8.80,1.22,0.09,Hakim,0.0,668,279,7,0.97,0,49.0,288,131,135,False,155.4,340,139,649,,2022-12-23T18:30:08.157184Z,55,107,56,0,0,4,0,,124183.jpg,1.8,368,156,0,0,0.0,Ziyech,0.4,291,97,False,None,6,0.83,a,6,8,113.0,265,139,33,68588,0,103056,0,0.0,6.0,Ziyech,1
1,1,228,100,100,5,0.29,126187,None,,0,0,0,0,260.4,143,98,None,,0,3,1.1,-0.5,1,1.75,0.1,2.60,0.15,0.85,27.57,1.62,0.05,Ruben,0.0,566,218,23,1.35,0,65.4,234,112,136,False,216.6,297,123,1530,,2022-12-20T01:00:07.138371Z,50,189,107,1,0,None,0,,126187.jpg,1.8,363,153,0,0,0.0,Loftus-Cheek,0.1,425,153,False,None,19,1.12,a,6,8,175.0,201,120,46,35772,0,40719,0,0.0,9.2,Loftus-Cheek,1
0,0,0,0,0,0,0,165153,None,,0,0,-1,1,0.0,778,93,None,,0,4,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Timo,0.0,759,82,0,0,0,0.0,778,93,137,False,0.0,778,93,0,Transferred to RB Leipzig,2022-08-10T10:27:43.622232Z,79,19,11,0,0,None,0,,165153.jpg,0.0,778,93,0,0,0,Werner,0.2,384,58,False,None,0,0,u,6,8,0.0,778,93,0,2202,0,53548,0,0.0,0.0,Werner,0
0,0,0,0,0,0,0,167767,None,,0,0,-1,1,0.0,540,193,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Robert Kenedy,0.0,32,17,0,0,0,0.0,562,194,138,False,0.0,558,195,0,Transferred to Real Valladolid,2022-09-02T10:47:42.073387Z,39,738,240,0,0,None,0,,167767.jpg,0.0,570,195,0,0,0,Nunes do Nascimento,0.2,361,135,False,None,0,0,u,6,8,0.0,500,182,0,27068,0,53915,0,0.0,0.0,Kenedy,0
3,4,302,100,25,4,0.26,172850,1,,0,0,-4,4,382.6,94,15,None,,1,2,0.0,-0.1,0,2.49,0.16,4.06,0.26,1.57,18.25,1.17,0.1,Ben,0.0,682,254,19,1.22,2,84.2,172,40,139,False,283.4,248,94,1402,,2023-05-06T17:00:08.147359Z,56,93,11,0,0,None,0,,172850.jpg,3.0,160,51,0,0,0.0,Chilwell,3.1,110,38,False,None,15,0.96,a,6,8,178.0,197,33,70,1795089,0,1919463,0,0.0,12.5,Chilwell,3
1,0,102,100,100,3,0.34,176413,None,,0,0,-4,4,166.8,213,131,None,,0,3,-0.1,-0.5,1,0.38,0.04,2.05,0.23,1.67,14.13,1.58,0.19,Christian,0.0,683,285,11,1.23,1,51.1,280,125,140,False,120.4,367,151,805,,2023-03-31T17:30:08.578843Z,56,94,49,0,0,None,0,,176413.jpg,1.6,401,173,0,0,0.0,Pulisic,0.4,281,94,False,None,8,0.89,a,6,8,227.0,164,98,39,109347,0,160783,0,0.0,7.0,Pulisic,1
0,1,318,100,100,5,0.28,180736,None,,0,0,-6,6,94.0,305,93,None,,0,2,0.9,-0.5,1,0.32,0.02,1.14,0.07,0.82,30.99,1.74,0.05,Trevoh,0.0,270,157,24,1.35,0,50.3,283,97,141,False,294.6,235,88,1601,,2022-08-31T08:30:06.535126Z,44,496,104,1,0,None,0,,180736.jpg,2.0,317,118,0,0,0.0,Chalobah,0.6,247,87,False,None,18,1.01,a,6,8,112.0,266,74,49,175599,0,186691,0,0.0,11.1,Chalobah,4
4,8,277,100,50,8,0.44,184341,None,,0,0,-8,8,463.1,68,57,3,,2,3,-0.2,-0.2,0,2.81,0.15,4.78,0.26,1.97,23.53,1.29,0.11,Mason,0.0,747,323,21,1.15,3,117.2,105,70,142,False,331.4,210,87,1644,,2023-04-25T13:30:08.341862Z,72,34,18,0,0,3,0,,184341.jpg,3.4,119,51,0,0,0.0,Mount,3.4,97,31,False,None,20,1.09,a,6,8,376.0,101,63,82,2177297,0,2792751,0,0.0,11.4,Mount,4
0,0,0,0,0,0,0,204727,None,,0,0,0,0,0.0,762,261,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Malang,0.0,579,241,0,0,0,0.0,764,261,143,False,0.0,763,261,0,Season-long loan to Monaco,2022-08-12T14:18:58.649483Z,50,202,27,0,0,None,0,,204727.jpg,0.0,765,261,0,0,0,Sarr,0.0,577,212,False,None,0,0,u,6,8,0.0,757,261,0,289,0,11884,0,0.0,0.0,Sarr,0
0,0,0,0,0,0,0,209046,None,,0,0,-2,2,0.0,768,335,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Callum,0.0,641,266,0,0,0,0.0,770,335,144,False,0.0,769,335,0,Season-long loan to Bayer Leverkusen,2022-08-31T07:22:31.364700Z,53,148,80,0,0,None,0,,209046.jpg,0.0,770,335,0,0,0,Hudson-Odoi,0.0,579,230,False,None,0,0,u,6,8,0.0,766,335,0,1884,0,10408,0,0.0,0.0,Hudson-Odoi,0
1,13,301,100,100,9,0.32,219847,None,,0,0,-6,6,536.6,55,3,None,,1,4,0.9,-0.5,1,2.75,0.1,14.33,0.51,11.58,38.25,1.34,0.41,Kai,0.0,752,81,31,1.09,7,202.5,28,7,145,False,476.4,128,13,2565,,2023-04-25T13:30:08.364738Z,74,28,13,0,0,1,0,,219847.jpg,2.9,178,24,0,0,0.0,Havertz,3.2,104,16,False,None,30,1.05,a,6,8,1014.0,15,10,102,1575452,0,1755945,0,0.0,13.8,Havertz,5
2,5,286,100,0,2,0.14,225796,2,,0,0,-2,2,358.2,101,18,2,,0,2,0.0,0.0,0,2.93,0.21,3.99,0.29,1.06,14.11,1.02,0.08,Reece,0.0,703,255,17,1.23,1,80.4,183,47,146,False,292.2,236,89,1242,,2023-04-25T13:30:08.392244Z,58,79,8,0,0,2,0,,225796.jpg,2.8,189,66,0,0,0.0,James,10.7,43,15,False,None,14,1.01,a,6,8,153.0,216,41,44,4234493,0,7263967,0,0.0,7.6,James,4
0,0,132,100,100,1,0.11,228286,None,,0,0,-2,2,0.0,751,81,None,,1,1,-0.3,-0.5,0,0.00,0.0,0.00,0.0,0.00,14.24,1.5,0.0,Edouard,0.0,516,76,14,1.47,0,20.2,408,26,147,False,200.4,312,26,855,,2022-12-30T15:00:07.563757Z,48,285,12,0,0,None,0,,228286.jpg,2.4,244,32,0,25,2.63,Mendy,5.8,68,13,False,None,9,0.95,a,6,8,0.0,744,76,24,698390,0,2234052,0,0.0,5.0,Mendy,1
1,7,279,100,100,4,0.22,232787,5,,0,0,-4,4,351.5,105,78,None,,0,3,2.5,-0.5,2,1.73,0.1,4.28,0.24,2.55,30.95,1.73,0.14,Conor,0.0,688,288,23,1.29,3,106.5,119,77,148,False,386.2,182,74,1608,,2022-10-19T22:30:07.006380Z,56,99,52,0,0,None,0,,232787.jpg,1.9,346,144,1,0,0.0,Gallagher,0.7,227,74,False,None,18,1.01,a,6,8,329.0,114,72,66,117548,0,217511,0,0.0,11.8,Gallagher,9
1,0,56,100,0,1,0.32,440323,None,,0,0,-3,3,18.2,425,59,None,,0,4,0.0,0.0,0,0.06,0.02,0.90,0.29,0.84,4.49,1.42,0.27,Armando,0.0,622,42,5,1.58,1,19.7,409,53,150,False,64.6,428,50,285,,2022-12-20T01:00:07.171085Z,52,165,52,0,0,None,0,,440323.jpg,1.8,365,46,0,0,0.0,Broja,0.3,316,51,False,None,2,0.63,a,6,8,113.0,264,53,21,75379,0,183899,0,0.0,4.0,Broja,0
0,0,0,0,0,0,0,199598,None,,0,0,-1,1,0.0,651,249,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Ethan,0.0,275,161,0,0,0,0.0,660,249,151,False,0.0,655,249,0,Season-long loan to Spezia,2022-09-02T10:48:44.805594Z,44,501,108,0,0,None,0,,199598.jpg,0.0,667,249,0,0,0,Ampadu,0.0,563,206,False,None,0,0,u,6,8,0.0,627,246,0,1467,0,8160,0,0.0,0.0,Ampadu,0
0,4,244,100,100,2,0.13,444463,None,,0,0,-2,2,59.6,359,123,None,,1,2,0.1,-0.5,1,0.29,0.02,1.03,0.07,0.74,22.96,1.52,0.05,Wesley,0.0,236,140,24,1.59,1,44.4,310,107,272,False,294.6,234,87,1362,,2023-05-06T21:00:08.764822Z,43,578,150,0,0,None,0,,444463.jpg,2.2,271,98,0,0,0.0,Fofana,1.0,194,68,False,None,14,0.93,a,6,8,86.0,294,91,37,405290,0,490318,0,0.0,8.6,W.Fofana,4
4,9,274,100,50,5,0.24,103955,None,,0,0,-3,3,495.4,61,51,None,,2,3,2.0,-0.2,5,3.22,0.15,9.43,0.45,6.21,27.83,1.33,0.3,Raheem,0.0,772,335,27,1.29,6,153.9,67,47,304,False,399.6,176,72,1886,,2023-05-25T22:00:12.474077Z,97,7,4,0,0,None,0,,103955.jpg,3.6,98,43,0,0,0.0,Sterling,3.4,96,30,False,None,23,1.1,a,6,8,647.0,39,24,101,1432352,0,1817823,0,0.0,10.4,Sterling,4
1,8,408,100,100,6,0.3,86129,None,,0,0,0,0,104.1,288,86,None,,0,2,-0.3,-0.5,0,0.43,0.02,1.31,0.06,0.88,22.43,1.12,0.04,Kalidou,0.0,666,251,22,1.1,2,74.5,204,57,520,False,497.4,118,40,1798,,2023-04-12T22:30:09.908012Z,55,105,12,0,0,None,0,,86129.jpg,3.2,137,40,1,0,0.0,Koulibaly,5.4,72,25,False,None,20,1.0,a,6,8,141.0,231,52,74,1136459,0,1787611,0,0.0,13.5,Koulibaly,5
