assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,132,3,143.2,240143,45,0.00,0.00,0.00,0.00,22,0,32.9,120.4,1010,0,0,0,0,0,2020/21,45,0,66.0,31,3
3,3,187,1,209.6,240143,45,0.00,0.00,0.00,0.00,21,0,46.6,177.6,1016,0,0,0,0,0,2021/22,45,0,79.0,44,1
0,0,95,0,66.0,240143,41,0.12,0.33,0.21,14.48,19,0,17.7,85.4,813,0,0,0,0,0,2022/23,45,11,28.0,19,4
