assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
5,3,407,8,661.4,72222,52,0.00,0.00,0.00,0.00,44,4,145.7,464.6,2386,0,0,0,0,0,2020/21,55,0,333.0,99,6
2,4,277,1,434.6,72222,51,0.00,0.00,0.00,0.00,52,1,125.6,340.4,2071,0,0,0,0,0,2021/22,55,0,484.0,61,5
0,0,43,0,69.3,72222,46,0.22,0.38,0.16,4.99,5,0,15.2,39.6,266,0,0,0,0,0,2022/23,50,0,50.0,12,2
