id,xP,xP2
611,0.0,1.7
627,0.0,0.0
637,0.0,0.5
662,0.0,0.0
678,0.0,0.5
686,0.0,0.5
757,0.0,0.0
760,0.0,0.5
768,0.0,1.9
1,-0.5,0.4
2,-0.5,4.8
105,-0.5,0.0
200,-0.5,4.4
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,-0.5,0.6
205,-0.5,1.2
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,-0.5,2.0
210,-0.5,3.6
211,-0.5,3.2
212,-0.5,4.6
213,-0.5,0.0
214,0.0,0.0
215,-0.5,2.2
216,0.0,0.0
217,-0.5,2.6
218,0.0,0.0
219,0.0,0.0
220,-0.5,2.0
231,-0.4,0.3
346,0.0,0.0
470,-0.5,3.0
521,0.0,0.0
532,0.0,0.0
546,-0.5,0.0
562,-0.5,1.0
591,-0.5,0.0
613,-0.5,0.0
614,-0.5,5.2
618,-0.5,5.6
636,-0.5,0.0
641,-0.5,0.0
667,-0.5,0.0
726,-0.5,1.0
747,-0.5,0.0
750,-0.5,0.0
763,-0.5,0.0
248,0.0,0.0
249,0.0,1.8
250,0.0,0.0
251,0.0,0.0
252,0.0,0.2
253,0.0,0.0
254,0.0,0.0
255,0.0,2.5
256,0.0,0.0
257,0.0,0.0
258,0.0,2.0
259,0.0,2.0
260,0.0,0.0
261,0.0,3.5
262,0.0,0.2
263,0.0,0.0
264,0.0,4.0
265,0.0,1.0
266,0.0,0.2
267,0.0,0.0
268,0.0,0.0
269,0.0,1.8
270,0.0,1.8
271,0.0,1.8
273,0.0,0.0
548,0.0,3.2
549,0.0,0.5
581,0.0,0.0
612,0.0,2.8
639,0.0,0.0
645,0.0,0.0
687,0.0,0.0
709,0.0,0.0
715,0.0,0.5
727,0.0,1.8
735,0.0,0.0
221,0.0,0.0
222,0.0,2.8
223,0.0,0.0
224,0.0,1.5
225,0.0,3.2
226,0.0,0.0
227,0.0,1.4
228,0.0,0.0
229,0.0,0.0
230,0.0,0.2
232,0.0,0.0
233,0.0,2.0
234,0.0,0.0
235,0.0,0.8
236,0.0,0.0
237,0.0,0.8
238,0.0,0.2
239,0.0,0.5
240,0.0,0.8
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,2.2
245,0.0,1.0
246,0.0,0.8
247,0.0,0.0
506,0.0,0.0
508,0.0,0.0
547,0.0,0.0
565,0.0,0.0
578,0.0,1.5
619,0.0,1.5
659,0.0,0.0
663,0.0,0.0
691,0.0,0.8
700,0.0,0.0
720,0.0,2.5
742,0.0,0.0
743,0.0,0.0
274,1.0,1.8
275,1.0,3.0
276,1.0,1.0
277,0.0,0.0
278,1.0,1.0
279,1.0,2.4
280,1.0,6.2
281,1.0,6.6
282,1.0,3.2
283,1.0,10.0
284,0.8,3.2
285,1.0,7.4
286,1.0,1.0
287,0.0,0.0
288,1.0,2.8
289,1.0,1.0
290,0.8,3.3
291,1.0,7.4
292,1.0,2.6
293,1.0,4.8
294,1.0,2.0
296,1.0,1.2
297,0.8,2.0
298,0.0,0.0
497,1.0,1.0
498,0.0,0.0
499,0.0,0.0
500,0.0,0.0
501,1.0,1.0
563,0.0,0.0
564,0.0,0.0
584,1.0,1.0
592,1.0,1.0
620,1.0,1.0
665,1.0,1.0
680,1.0,4.4
299,1.0,4.7
300,1.0,7.0
301,1.0,1.8
302,1.0,2.8
303,1.0,6.3
305,0.8,1.7
306,0.0,0.0
307,1.0,2.8
308,0.5,1.9
309,0.8,2.6
310,0.0,0.0
311,1.0,2.2
312,0.8,2.5
314,1.0,5.5
315,1.0,3.0
316,1.0,2.2
317,0.0,0.0
318,1.0,6.2
319,1.0,5.5
320,0.0,0.0
322,0.0,0.0
323,0.0,0.0
324,1.0,4.8
325,1.0,2.0
502,1.0,1.0
573,1.0,2.7
587,1.0,2.5
599,0.0,0.0
600,1.0,1.0
610,0.8,2.2
712,0.0,0.0
772,1.0,2.4
773,1.0,2.4
774,1.0,2.4
162,0.5,0.0
326,0.0,0.0
327,0.5,4.7
328,0.5,0.0
329,0.5,2.3
330,0.5,0.3
331,0.5,1.2
332,0.2,2.4
333,0.5,5.3
334,0.0,0.0
335,0.5,2.8
336,0.0,0.0
337,0.5,4.2
338,0.5,0.3
339,0.0,0.0
340,0.5,3.0
341,0.5,2.8
342,0.5,1.8
343,0.5,0.0
344,0.5,0.0
345,0.5,3.3
347,0.5,0.0
348,0.5,0.0
504,0.5,1.0
519,0.5,3.7
533,0.0,0.0
550,0.0,0.0
551,0.5,0.0
569,0.5,1.2
593,0.5,4.0
609,0.1,0.6
615,0.0,0.0
643,0.5,0.0
656,0.5,0.0
660,0.0,0.0
